Year,Month,Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling,Total Cases
2020,January,DMP,2,26,22,9,0,214,8,4,60,126,559,11,2,1438,6,2487
2020,January,CMP,0,10,9,0,0,73,0,3,16,25,168,39,1,220,2,566
2020,January,KMP,0,3,0,2,0,6,2,0,1,13,30,0,0,155,1,213
2020,January,RMP,0,2,2,1,0,24,1,0,5,5,51,2,0,271,15,379
2020,January,BMP,0,0,4,1,0,14,1,0,3,10,44,1,0,49,0,127
2020,January,SMP,0,0,1,4,0,28,2,1,5,12,58,1,0,42,10,164
2020,January,RPMP,0,1,2,1,0,15,0,0,3,9,44,1,0,54,0,130
2020,January,GMP,1,3,5,3,0,58,4,0,7,15,73,1,1,93,3,267
2020,January,Dhaka Range,13,17,65,14,0,370,14,4,33,112,968,17,2,747,2,2378
2020,January,Mymensingh Range,2,3,18,15,0,202,1,0,6,41,457,3,0,220,5,973
2020,January,Chittagong Range,6,18,54,8,0,260,5,3,55,105,914,16,2,765,8,2219
2020,January,Sylhet Range,1,1,10,0,0,107,3,1,6,39,386,1,0,193,24,772
2020,January,Khulna Range,1,7,25,1,0,187,2,1,24,88,626,17,5,535,26,1545
2020,January,Barishal Range,2,6,11,7,0,145,3,1,15,22,382,4,0,224,0,822
2020,January,Rajshahi Range,0,6,29,8,0,348,2,4,12,58,577,11,3,969,101,2128
2020,January,Rangpur Range,0,1,25,1,0,287,5,1,13,67,651,3,0,361,28,1443
2020,January,Railway Range,0,1,1,0,0,1,1,0,0,5,5,0,0,18,0,32
2020,February,DMP,1,15,21,10,1,194,1,4,74,113,467,12,1,1205,12,2131
2020,February,CMP,0,5,2,7,0,64,0,2,13,13,112,31,3,396,3,651
2020,February,KMP,0,2,1,0,0,8,2,0,1,6,26,0,0,129,0,175
2020,February,RMP,0,5,1,0,0,16,2,0,1,7,55,1,0,268,13,369
2020,February,BMP,0,2,1,2,0,12,0,0,10,10,44,0,0,93,0,174
2020,February,SMP,0,2,1,10,0,22,1,1,1,5,59,1,0,54,1,158
2020,February,RPMP,0,1,2,1,0,15,0,1,0,6,40,0,0,72,0,138
2020,February,GMP,0,2,3,1,0,48,3,1,2,14,90,6,0,165,1,336
2020,February,Dhaka Range,4,14,54,8,0,263,11,4,24,74,806,15,1,1186,8,2472
2020,February,Mymensingh Range,1,1,16,5,0,129,1,4,7,35,434,3,0,508,7,1151
2020,February,Chittagong Range,10,16,48,7,0,239,10,5,35,89,828,48,2,1077,14,2428
2020,February,Sylhet Range,3,3,19,0,0,67,1,2,4,30,306,6,0,220,26,687
2020,February,Khulna Range,3,6,17,2,0,168,2,4,19,49,520,26,2,766,27,1611
2020,February,Barishal Range,1,4,12,0,0,106,2,1,9,26,374,1,0,299,2,837
2020,February,Rajshahi Range,3,7,36,2,0,204,1,4,7,43,552,20,3,1542,124,2548
2020,February,Rangpur Range,0,1,21,1,0,185,3,1,10,45,676,4,0,524,71,1542
2020,February,Railway Range,0,1,2,0,0,0,1,0,1,6,11,0,0,27,15,64
2020,March,DMP,3,13,17,13,0,187,7,6,49,110,502,15,0,1129,8,2059
2020,March,CMP,0,6,3,7,0,64,1,1,9,13,152,32,0,344,3,635
2020,March,KMP,0,0,3,1,0,7,0,0,1,2,18,0,0,102,0,134
2020,March,RMP,0,2,1,0,2,19,1,0,5,8,53,1,0,243,29,364
2020,March,BMP,0,0,1,3,0,10,0,1,8,5,39,0,0,102,0,169
2020,March,SMP,0,0,4,4,0,26,0,0,2,7,75,0,0,42,1,161
2020,March,RPMP,0,0,2,1,0,24,0,0,0,11,42,0,0,87,0,167
2020,March,GMP,3,3,5,1,0,42,4,3,3,13,107,2,0,125,0,311
2020,March,Dhaka Range,3,18,49,9,0,265,10,4,25,80,911,5,1,1009,1,2390
2020,March,Mymensingh Range,1,2,21,3,0,122,0,4,4,31,457,4,0,436,10,1095
2020,March,Chittagong Range,8,9,62,11,0,230,5,11,32,65,953,53,0,976,14,2429
2020,March,Sylhet Range,2,3,26,1,0,88,3,5,10,35,338,6,0,167,17,701
